Subcategory	Category	HPO_term	number	HPO_text	Subcategory_old_name
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0001263	458	Global developmental delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0000750	194	Delayed speech and language development	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0001249	116	Intellectual disability	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0001256	45	Intellectual disability, mild	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0100543	45	Cognitive impairment	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0001344	32	Absent speech	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0012758	26	Neurodevelopmental delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0100021	24	Cerebral palsy	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0011342	16	Mild global developmental delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0002376	16	Developmental regression	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0002342	12	Intellectual disability, moderate	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0025356	11	Psychomotor retardation	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0011344	10	Severe global developmental delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0002465	6	Poor speech	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0002474	6	Expressive language delay	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0010864	7	Intellectual disability, severe	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0001298	7	Encephalopathy	1-Dysfunction of higher cognitive abilities
dysf. of cognitive abilities	1-Neurodevelopmental	HP:0002371	8	Loss of speech	1-Dysfunction of higher cognitive abilities
